gestosc,ilosc wierzcholkow,ilosc krawedzi,IncidentEdges,AreAdjacent,InsertVertex,InsertEdge,RemoveVertex,RemoveEdge
0.282609,24,78,0.02,0.06,0.31,0.67,356.98,345.69
0.265957,48,300,0.03,0.16,0.2,0.25,678.3,717.52
